date,1. open,2. high,3. low,4. close,5. volume
2018-01-03,44.5,46.04,44.44,45.33,3907268.0
2018-01-04,45.53,46.87,44.78,46.84,4052862.0
2018-01-05,46.54,46.99,45.94,46.39,4511968.0
2018-01-08,46.39,47.0,45.23,45.92,3927903.0
2018-01-09,45.66,45.85,44.26,44.55,5128387.0
2018-01-10,44.71,44.9,43.9,43.99,3552894.0
2018-01-11,44.37,46.97,44.2,46.0,6712261.0
2018-01-12,46.17,47.35,46.01,47.16,3724512.0
2018-01-16,47.35,47.59,45.96,46.27,4465395.0
2018-01-17,46.36,46.94,45.52,46.53,2760118.0
2018-01-18,46.37,46.89,45.81,46.7,2741854.0
2018-01-19,46.47,46.83,45.69,46.05,3271855.0
2018-01-22,46.38,47.69,46.26,47.66,3175782.0
2018-01-23,47.99,48.32,46.82,47.77,4420852.0
2018-01-24,47.87,48.8,47.47,48.12,5470062.0
2018-01-25,48.65,48.97,47.42,47.45,4068944.0
2018-01-26,47.62,48.09,47.21,48.08,3082841.0
2018-01-29,47.69,47.95,46.58,46.65,3131924.0
2018-01-30,45.8,46.0,44.22,44.57,5861283.0
2018-01-31,44.64,45.48,44.48,44.87,4939273.0
2018-02-01,45.02,45.355,44.37,44.69,3961551.0
2018-02-02,44.0,44.2,42.34,42.82,5138954.0
2018-02-05,42.02,42.93,40.71,40.93,4019110.0
2018-02-06,40.03,41.73,39.65,41.12,5743752.0
2018-02-07,41.18,41.9722,39.33,39.55,5664010.0
2018-02-08,39.68,40.074,37.72,37.73,5179325.0
2018-02-09,38.16,38.5,35.7,37.23,5886440.0
2018-02-12,37.7,38.45,36.68,38.11,5498634.0
2018-02-13,37.7,37.95,37.3,37.7,4331447.0
2018-02-14,37.0,38.4,36.88,38.2,4463593.0
2018-02-15,38.44,38.45,37.09,38.1,4015456.0
2018-02-16,37.76,38.74,37.42,38.11,4085080.0
2018-02-20,38.29,38.74,38.04,38.3,3063900.0
2018-02-21,38.02,38.19,37.05,37.2,6883367.0
2018-02-22,38.25,38.4399,34.5,34.85,13478823.0
2018-02-23,35.0,36.285,34.8,36.13,8018689.0
2018-02-26,36.39,36.71,35.65,35.98,5457404.0
2018-02-27,35.89,36.47,34.79,34.8,5586812.0
2018-02-28,35.0,35.26,34.04,34.15,8266818.0
2018-03-01,34.24,34.75,33.9,34.27,5859322.0
