date,1. open,2. high,3. low,4. close,5. volume
2018-01-16,36.9,37.02,36.54,36.72,24465060.0
2018-01-17,36.77,36.95,36.485,36.85,21655224.0
2018-01-18,36.84,37.38,36.81,37.15,26441248.0
2018-01-19,37.37,37.37,36.94,37.21,27663383.0
2018-01-22,37.2,37.9,36.98,37.87,30559514.0
2018-01-23,37.95,38.22,37.03,37.19,31738744.0
2018-01-24,37.29,37.385,36.98,37.02,24798025.0
2018-01-25,37.09,37.45,36.84,37.45,23387064.0
2018-01-26,37.46,37.82,37.36,37.82,19531736.0
2018-01-29,37.13,37.68,36.98,37.26,30124560.0
2018-01-30,37.36,37.8,37.3,37.44,27979531.0
2018-01-31,37.42,37.9248,37.33,37.45,38803396.0
2018-02-01,38.51,39.29,38.401,39.16,59427489.0
2018-02-02,39.03,39.04,37.81,38.07,44897592.0
2018-02-05,37.81,38.31,36.63,36.63,44764181.0
2018-02-06,36.08,37.07,35.5,36.83,62154707.0
2018-02-07,36.81,37.45,36.74,36.93,35446487.0
2018-02-08,36.89,36.95,35.57,35.57,43483762.0
2018-02-09,35.83,36.35,35.03,36.05,49912177.0
2018-02-12,36.33,36.6,35.97,36.37,27573659.0
2018-02-13,36.29,36.71,35.97,36.6,21391714.0
2018-02-14,36.4,36.769,36.11,36.41,24724420.0
2018-02-15,36.47,37.0,36.23,37.0,27036913.0
2018-02-16,36.98,37.39,36.8601,37.14,19702896.0
2018-02-20,36.88,37.09,36.67,36.77,21710431.0
2018-02-21,36.77,37.0388,36.28,36.31,20719966.0
2018-02-22,36.47,36.99,36.41,36.47,18459802.0
2018-02-23,36.55,36.75,36.29,36.72,17146238.0
2018-02-26,36.93,37.51,36.81,37.46,19801615.0
2018-02-27,37.42,37.64,36.87,36.87,21161420.0
2018-02-28,37.18,37.18,36.3,36.3,28917497.0
2018-03-01,36.31,36.75,35.865,36.0,28413468.0
