date,CCI
2015-09-28,-43.9244
2015-09-29,-57.0698
2015-09-30,-40.1542
2015-10-01,-42.6093
2015-10-02,-15.4252
2015-10-05,38.9726
2015-10-06,59.7505
2015-10-07,50.0498
2015-10-08,26.084
2015-10-09,45.3525
2015-10-12,61.5657
2015-10-13,91.8111
2015-10-14,102.9966
2015-10-15,134.8842
2015-10-16,139.7914
2015-10-19,144.0806
2015-10-20,91.882
2015-10-21,62.6928
2015-10-22,78.754
2015-10-23,299.4922
2015-10-26,275.0727
2015-10-27,246.9558
2015-10-28,230.67
2015-10-29,229.192
2015-10-30,206.7254
2015-11-02,201.1055
2015-11-03,198.102
2015-11-04,204.1829
2015-11-05,204.1281
2015-11-06,188.408
2015-11-09,165.4953
2015-11-10,155.148
2015-11-11,164.2283
2015-11-12,149.7653
2015-11-13,122.3285
2015-11-16,118.4985
2015-11-17,118.0257
2015-11-18,126.9029
2015-11-19,125.1302
2015-11-20,137.8237
2015-11-23,136.3846
2015-11-24,115.8513
2015-11-25,112.8502
2015-11-27,110.1086
2015-11-30,100.0839
2015-12-01,115.4567
2015-12-02,117.2237
2015-12-03,99.8606
2015-12-04,104.1719
2015-12-07,101.4159
2015-12-08,95.7762
2015-12-09,80.6341
2015-12-10,76.7318
2015-12-11,62.5176
2015-12-14,60.5558
2015-12-15,69.6547
2015-12-16,74.3488
2015-12-17,74.3101
2015-12-18,58.8937
2015-12-21,60.8457
2015-12-22,66.586
2015-12-23,64.8438
2015-12-24,62.6153
2015-12-28,79.0248
2015-12-29,108.5259
2015-12-30,102.8894
2015-12-31,82.5002
2016-01-04,31.9179
2016-01-05,42.1901
2016-01-06,29.466
2016-01-07,-3.9245
2016-01-08,-29.261
2016-01-11,-55.9001
2016-01-12,-27.2442
2016-01-13,-73.4427
2016-01-14,-88.5801
2016-01-15,-141.9955
2016-01-19,-130.1728
2016-01-20,-174.1077
2016-01-21,-117.924
2016-01-22,-49.1279
2016-01-25,-80.0665
2016-01-26,-98.9172
2016-01-27,-130.8084
2016-01-28,-45.9515
2016-01-29,3.9428
2016-02-01,55.6007
2016-02-02,142.1944
2016-02-03,8.1295
2016-02-04,-105.4276
2016-02-05,-187.7529
2016-02-08,-220.8409
2016-02-09,-185.9776
2016-02-10,-152.4681
2016-02-11,-171.8897
2016-02-12,-150.0397
2016-02-16,-124.4147
2016-02-17,-85.6333
2016-02-18,-85.5939
2016-02-19,-89.0924
2016-02-22,-64.2082
2016-02-23,-83.5394
2016-02-24,-95.757
2016-02-25,-73.3516
2016-02-26,-56.1151
2016-02-29,-65.6168
2016-03-01,-35.8532
2016-03-02,-22.037
2016-03-03,-32.5322
2016-03-04,-35.1061
2016-03-07,-75.1844
2016-03-08,-79.8793
2016-03-09,-56.485
2016-03-10,-27.3845
2016-03-11,12.688
2016-03-14,35.1828
2016-03-15,31.0988
2016-03-16,46.8154
2016-03-17,68.0436
2016-03-18,63.0792
2016-03-21,71.8651
2016-03-22,78.7379
2016-03-23,76.1825
2016-03-24,60.795
2016-03-28,66.8717
2016-03-29,90.9255
2016-03-30,138.8194
2016-03-31,111.6417
2016-04-01,112.0448
2016-04-04,114.9075
2016-04-05,82.5363
2016-04-06,93.3196
2016-04-07,85.027
2016-04-08,78.7545
2016-04-11,72.4862
2016-04-12,70.7708
2016-04-13,103.6299
2016-04-14,113.5005
2016-04-15,119.6831
2016-04-18,135.1029
2016-04-19,110.1807
2016-04-20,93.6434
2016-04-21,98.6849
2016-04-22,-5.4735
2016-04-25,-11.2682
2016-04-26,-36.6727
2016-04-27,-65.2907
2016-04-28,-75.7398
2016-04-29,-88.5516
2016-05-02,-76.0167
2016-05-03,-84.5482
2016-05-04,-84.3418
2016-05-05,-70.3475
2016-05-06,-48.7749
2016-05-09,-29.011
2016-05-10,-7.9512
2016-05-11,-21.2882
2016-05-12,-35.2424
2016-05-13,-41.9523
2016-05-16,-38.6158
2016-05-17,-49.6083
2016-05-18,-66.2973
2016-05-19,-86.6525
2016-05-20,-60.6701
2016-05-23,-66.8386
2016-05-24,-33.2421
2016-05-25,-3.0781
2016-05-26,-3.2511
2016-05-27,18.6251
2016-05-31,37.9706
2016-06-01,30.1347
2016-06-02,9.0312
2016-06-03,-13.5895
2016-06-06,-37.3048
2016-06-07,-37.9681
2016-06-08,-6.4235
2016-06-09,-2.0561
2016-06-10,-27.5134
2016-06-13,-28.3652
2016-06-14,-36.2363
2016-06-15,-27.4944
2016-06-16,-66.8689
2016-06-17,-121.7624
2016-06-20,-116.6683
2016-06-21,-110.9909
2016-06-22,-106.6061
2016-06-23,-104.7836
2016-06-24,-172.2855
2016-06-27,-209.7042
2016-06-28,-163.3285
2016-06-29,-131.7617
2016-06-30,-107.9102
2016-07-01,-73.9674
2016-07-05,-86.6502
2016-07-06,-73.4147
2016-07-07,-80.1025
2016-07-08,-42.9029
2016-07-11,3.3428
2016-07-12,37.6449
2016-07-13,40.5078
2016-07-14,50.986
2016-07-15,61.638
2016-07-18,112.9956
2016-07-19,131.2648
2016-07-20,156.6863
2016-07-21,142.6897
2016-07-22,146.571
2016-07-25,136.7802
2016-07-26,124.0195
2016-07-27,133.4324
2016-07-28,145.1359
2016-07-29,255.2221
2016-08-01,240.8027
2016-08-02,226.8392
2016-08-03,210.7768
2016-08-04,199.1599
2016-08-05,212.4437
2016-08-08,202.9398
2016-08-09,200.8084
2016-08-10,188.313
2016-08-11,179.6858
2016-08-12,159.7073
2016-08-15,153.8049
2016-08-16,130.101
2016-08-17,126.267
2016-08-18,122.6548
2016-08-19,107.5088
2016-08-22,95.9273
2016-08-23,94.6967
2016-08-24,84.3067
2016-08-25,76.1812
2016-08-26,78.4135
2016-08-29,77.2226
2016-08-30,72.2264
2016-08-31,63.6864
2016-09-01,63.4695
2016-09-02,68.0978
2016-09-06,79.0131
2016-09-07,80.5033
2016-09-08,71.0702
2016-09-09,44.2996
2016-09-12,43.2673
2016-09-13,33.6163
2016-09-14,37.3465
2016-09-15,47.413
2016-09-16,44.1687
2016-09-19,43.2471
2016-09-20,48.736
2016-09-21,54.1383
2016-09-22,82.3027
2016-09-23,85.8899
2016-09-26,56.7572
2016-09-27,69.4617
2016-09-28,63.8785
2016-09-29,59.6937
2016-09-30,55.9805
2016-10-03,35.6329
2016-10-04,48.8404
2016-10-05,57.8994
2016-10-06,55.336
2016-10-07,40.5596
2016-10-10,92.7467
2016-10-11,104.5867
2016-10-12,106.6938
2016-10-13,45.2836
2016-10-14,59.5084
2016-10-17,71.5712
2016-10-18,187.7305
2016-10-19,253.1996
2016-10-20,229.7977
2016-10-21,213.6339
2016-10-24,321.5325
2016-10-25,283.2635
2016-10-26,189.2128
2016-10-27,146.8326
2016-10-28,174.4669
2016-10-31,67.9426
2016-11-01,23.865
2016-11-02,-64.7156
2016-11-03,-119.3845
2016-11-04,-135.4491
2016-11-07,9.9054
2016-11-08,74.5932
2016-11-09,28.2012
2016-11-10,-75.1389
2016-11-11,-166.6825
2016-11-14,-253.3169
2016-11-15,-138.8305
2016-11-16,-109.7742
2016-11-17,-51.5559
2016-11-18,-78.124
2016-11-21,-68.7376
2016-11-22,-41.4515
2016-11-23,-98.323
2016-11-25,-91.4927
2016-11-28,-49.1301
2016-11-29,-28.3601
2016-11-30,-91.26
2016-12-01,-166.0429
2016-12-02,-151.8534
2016-12-05,-90.4836
2016-12-06,-78.6579
2016-12-07,-54.9821
2016-12-08,-11.5957
2016-12-09,55.8086
2016-12-12,67.27
2016-12-13,117.8513
2016-12-14,115.4099
2016-12-15,108.2865
2016-12-16,85.1211
2016-12-19,77.1279
2016-12-20,91.4424
2016-12-21,71.9872
2016-12-22,61.2386
2016-12-23,54.1228
2016-12-27,63.8279
2016-12-28,38.751
2016-12-29,14.0086
2016-12-30,-22.6418
2017-01-03,20.0544
2017-01-04,35.0033
2017-01-05,53.6437
2017-01-06,103.1177
2017-01-09,119.6275
2017-01-10,111.9496
2017-01-11,107.5796
2017-01-12,97.1987
2017-01-13,113.3572
2017-01-17,93.3286
2017-01-18,94.1205
2017-01-19,93.3332
2017-01-20,94.5689
2017-01-23,136.7402
2017-01-24,165.4171
2017-01-25,196.3718
2017-01-26,189.6495
2017-01-27,165.7971
2017-01-30,77.8775
2017-01-31,40.195
2017-02-01,38.131
2017-02-02,43.0418
2017-02-03,60.0049
2017-02-06,46.7003
2017-02-07,70.9864
2017-02-08,74.0923
2017-02-09,73.9898
2017-02-10,90.5994
2017-02-13,111.0044
2017-02-14,113.4835
2017-02-15,111.623
2017-02-16,118.1659
2017-02-17,128.7329
2017-02-21,146.0318
2017-02-22,141.1285
2017-02-23,129.385
2017-02-24,118.7463
2017-02-27,117.6016
2017-02-28,98.4246
2017-03-01,135.1769
2017-03-02,127.394
2017-03-03,111.1878
2017-03-06,96.9117
